"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre","profit_ratio","decade","distributor_top7","md","month_day"
"140",2003-06-27,"Charlie's Angels: Full Throttle",1.2e+08,100814328,227200000,"Sony Pictures","PG-13","Action",1.89333333333333,2000,"Sony Pictures",178,"Jun-27"
"141",2018-04-13,"Rampage",1.2e+08,99345950,424745950,"Warner Bros.","PG-13","Action",3.53954958333333,2010,"Warner Bros.",103,"Apr-13"
"142",2013-08-09,"Elysium",1.2e+08,93050117,286192091,"Sony Pictures","R","Action",2.38493409166667,2010,"Sony Pictures",221,"Aug-9"
"143",2017-03-24,"Power Rangers",1.2e+08,85364450,142545357,"Lionsgate","PG-13","Action",1.187877975,2010,"Lionsgate",83,"Mar-24"
"144",2002-07-19,"Stuart Little 2",1.2e+08,64956806,1.66e+08,"Sony Pictures","PG","Adventure",1.38333333333333,2000,"Sony Pictures",200,"Jul-19"
"145",2004-06-11,"The Chronicles of Riddick",1.2e+08,57712751,107212751,"Universal","PG-13","Adventure",0.893439591666667,2000,"Universal",163,"Jun-11"
"146",2008-05-09,"Speed Racer",1.2e+08,43945766,93394462,"Warner Bros.","PG","Action",0.778287183333333,2000,"Warner Bros.",130,"May-9"
"147",2005-07-22,"The Island",1.2e+08,35818913,163018913,"Dreamworks SKG","PG-13","Action",1.35849094166667,2000,"Other",203,"Jul-22"
"148",2010-06-23,"Knight and Day",1.17e+08,76423035,258751370,"20th Century Fox","PG-13","Action",2.21155017094017,2010,"20th Century Fox",174,"Jun-23"
"149",1999-05-19,"Star Wars Ep. I: The Phantom Menace",1.15e+08,474544677,1027044677,"20th Century Fox","PG","Adventure",8.93082327826087,1990,"20th Century Fox",139,"May-19"
"150",2001-11-02,"Monsters, Inc.",1.15e+08,289423425,559757719,"Walt Disney","G","Adventure",4.86745842608696,2000,"Walt Disney",306,"Nov-2"
"151",2013-07-26,"The Wolverine",1.15e+08,132556852,416456852,"20th Century Fox","PG-13","Action",3.62136393043478,2010,"20th Century Fox",207,"Jul-26"
"152",1997-02-07,"Dante's Peak",1.15e+08,67163857,178200000,"Universal","PG-13","Drama",1.5495652173913,1990,"Universal",38,"Feb-7"
"153",2016-04-22,"The Huntsman: Winter’s War",1.15e+08,48003015,165149302,"Universal","PG-13","Action",1.43608088695652,2010,"Universal",113,"Apr-22"
"154",2002-06-14,"Windtalkers",1.15e+08,40914068,77628265,"MGM","R","Action",0.675028391304348,2000,"Other",165,"Jun-14"
"155",2010-12-25,"Gulliver's Travels",1.12e+08,42779261,232017848,"20th Century Fox","PG","Adventure",2.07158792857143,2010,"20th Century Fox",359,"Dec-25"
"156",2017-12-15,"Ferdinand",1.11e+08,84410380,289867087,"20th Century Fox","PG","Adventure",2.6114151981982,2010,"20th Century Fox",349,"Dec-15"
"157",2018-05-18,"Deadpool 2",1.1e+08,318491426,733809601,"20th Century Fox","R","Action",6.67099637272727,2010,"20th Century Fox",138,"May-18"
"158",2006-12-22,"Night at the Museum",1.1e+08,250863268,579446407,"20th Century Fox","PG","Adventure",5.26769460909091,2000,"20th Century Fox",356,"Dec-22"
"159",2005-06-10,"Mr. and Mrs. Smith",1.1e+08,186336279,486124090,"20th Century Fox","PG-13","Action",4.41930990909091,2000,"20th Century Fox",161,"Jun-10"
"160",2015-05-29,"San Andreas",1.1e+08,155190832,457199280,"Warner Bros.","PG-13","Adventure",4.15635709090909,2010,"Warner Bros.",149,"May-29"
"161",2011-07-29,"The Smurfs",1.1e+08,142614158,563749323,"Sony Pictures","PG","Adventure",5.12499384545455,2010,"Sony Pictures",210,"Jul-29"
"162",2007-06-27,"Live Free or Die Hard",1.1e+08,134529403,382288147,"20th Century Fox","PG-13","Action",3.47534679090909,2000,"20th Century Fox",178,"Jun-27"
"163",2015-03-20,"The Divergent Series: Insurgent",1.1e+08,130179072,295075882,"Lionsgate","PG-13","Action",2.68250801818182,2010,"Lionsgate",79,"Mar-20"
"164",2004-12-10,"Ocean's Twelve",1.1e+08,125531634,362989076,"Warner Bros.","PG-13","Adventure",3.29990069090909,2000,"Warner Bros.",345,"Dec-10"
"165",1997-12-19,"Tomorrow Never Dies",1.1e+08,125304276,339504276,"MGM","PG-13","Action",3.08640250909091,1990,"Other",353,"Dec-19"
"166",2000-06-28,"The Patriot",1.1e+08,113330342,215300000,"Sony Pictures","R","Drama",1.95727272727273,2000,"Sony Pictures",180,"Jun-28"
"167",2014-03-07,"300: Rise of an Empire",1.1e+08,106580051,330780051,"Warner Bros.","R","Action",3.00709137272727,2010,"Warner Bros.",66,"Mar-7"
"168",2011-01-14,"The Green Hornet",1.1e+08,98780042,229155503,"Sony Pictures","PG-13","Action",2.08323184545455,2010,"Sony Pictures",14,"Jan-14"
"169",2011-10-07,"Real Steel",1.1e+08,85463309,263880341,"Walt Disney","PG-13","Action",2.39891219090909,2010,"Walt Disney",280,"Oct-7"
"170",2010-06-11,"The A-Team",1.1e+08,77222099,177241171,"20th Century Fox","PG-13","Action",1.61128337272727,2010,"20th Century Fox",162,"Jun-11"
"171",2013-07-31,"The Smurfs 2",1.1e+08,71017784,348547523,"Sony Pictures","PG","Adventure",3.16861384545455,2010,"Sony Pictures",212,"Jul-31"
"172",2016-03-18,"The Divergent Series: Allegiant",1.1e+08,66184051,171871661,"Lionsgate","PG-13","Action",1.56246964545455,2010,"Lionsgate",78,"Mar-18"
